Día, Mes, Año de H_Fecha;Hora de H_Fecha;Aut Nombre;Disp Nombre;Disp Ubicacion;Seccion Sentido;Disp Lat;Disp Lng;H_Cant_Veh
04/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6799
04/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6909
04/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6134
04/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5417
04/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5254
04/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5202
04/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4835
04/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4616
04/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4405
04/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4731
04/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4438
04/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3366
04/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2803
04/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2229
04/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1559
04/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1265
05/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;935
05/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;607
05/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;450
05/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;429
05/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;674
05/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1846
05/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3614
05/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6048
05/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6804
05/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5590
05/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5823
05/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5934
05/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5427
05/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5466
05/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5074
05/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4784
05/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4861
05/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5048
05/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4807
05/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3698
05/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3311
05/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2586
05/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1594
05/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1273
06/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1054
06/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;713
06/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;447
06/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;408
06/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;642
06/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1836
06/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3587
06/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5831
06/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6575
06/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6863
06/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6353
06/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5775
06/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5556
06/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5612
06/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5126
06/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4953
06/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4946
06/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5069
06/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4494
06/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3517
06/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3200
06/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2595
06/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1821
06/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1552
07/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1235
07/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;804
07/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;603
07/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;479
07/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;788
07/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1833
07/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3428
07/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5579
07/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6050
07/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6246
07/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5621
07/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5372
07/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5211
07/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5289
07/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4940
07/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4866
07/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4797
07/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5174
07/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4564
07/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3774
07/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3534
07/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3032
07/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2122
07/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1640
08/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1385
08/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1013
08/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;798
08/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;611
08/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;917
08/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1542
08/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1962
08/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2563
08/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2998
08/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3356
08/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3586
08/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3646
08/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3469
08/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3309
08/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2978
08/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3048
08/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3138
08/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3450
08/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3629
08/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3916
08/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4188
08/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3692
08/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2670
08/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2020
09/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1880
09/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1570
09/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1125
09/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;776
09/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;746
09/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1301
09/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1288
09/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1412
09/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1627
09/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1963
09/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2243
09/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2616
09/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2995
09/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2777
09/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2583
09/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2959
09/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3314
09/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3680
09/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4497
09/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5165
09/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4871
09/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4425
09/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3518
09/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2533
10/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1532
10/01/22;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;861
10/01/22;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;559
10/01/22;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;494
10/01/22;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;899
10/01/22;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2023
10/01/22;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3790
10/01/22;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6159
10/01/22;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6825
10/01/22;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;7007
10/01/22;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6103
10/01/22;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5635
10/01/22;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5288
10/01/22;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5252
10/01/22;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4896
10/01/22;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4510
10/01/22;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4374
10/01/22;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4624
10/01/22;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4134
10/01/22;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3179
10/01/22;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2858
10/01/22;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2183
10/01/22;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1676
10/01/22;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1222
11/01/22;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;900
